Initial Model,AI Model,Last Initial Model+AI Model (This Model),Next Update
Dec 2020 - Jan 2021,Jan 2021 - March 2021,March 2021 - April 2021,May - June 2021
Initial Model Last Update (Based on Guidelines),Initial AI Model Last Update,Initial Model+AI Model (This Model) Last Update,Next Update (New Guidelines+AI)
